ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-09-22,5TDDSKFC9RS149364,2024,Sienna XSE,DealerHold,False,Port to dealer,49314,Cement,Gray Flannel + Black Embossed Softex® [softex],192,Headquarter Toyota,https://www.headquartertoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Southeast Toyota Distributor | XSE Plus Package:
2024-10-02,5TDERKEC0RS221604,2024,Sienna Platinum,Available,False,Factory to port,56417,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,89,Beaver Toyota of St. Augustine,https://www.beavertoyotastaugustine.com,False,50 State Emissions | 6-Gallons of Gas | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-12,5TDERKEC0RS39D006,2024,Sienna Platinum,Available,False,Factory to port,57515,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,72,Courtesy Toyota,https://www.courtesytoyota.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Clear Paint Protection - Door Package | Clear Paint Protection - Full Hood Package | Illuminated Door Sills | Mudguards | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-19,5TDERKEC0RS40D906,2024,Sienna Platinum,Available,False,Factory to port,56670,Cypress,Nobel Brown Leather,218,South Dade Toyota,https://www.southdadetoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | All Weather Tri-Fold Cargo Liner | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-05,5TDERKEC1RS221918,2024,Sienna Platinum,Available,False,Factory to port,57515,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,78,Gettel Stadium Toyota,https://www.stadiumtoyota.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Illuminated Door Sills | Mudguards | Paint Protection Film - Hood & Door Package | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-19,5TDERKEC1RS40C456,2024,Sienna Platinum,Available,False,Factory to port,57553,Midnight Black Metallic,Nobel Brown Leather,112,Coggin Toyota at the Avenues,https://www.coggintoyota.com,False,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Clear Paint Protection - Full Hood Package | Cross Bars | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | SmartLED Ambient Lighting | Southeast Toyota Distributor | TOYOGUARD Platinum | Temporary Spare Tire
2024-10-19,5TDERKEC1RS40D669,2024,Sienna Platinum,Available,False,Factory to port,57334,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,63,Wesley Chapel Toyota,https://www.wesleychapeltoyota.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Clear Paint Protection - Door Package | Cross Bars | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-09-24,5TDERKEC2RS221037,2024,Sienna Platinum,Available,False,Port to dealer,56377,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,151,Palm Beach Toyota,https://www.palmbeachtoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Mudguards | Phone Cable Charge Package | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-19,5TDERKEC2RS40C255,2024,Sienna Platinum,Available,False,Factory to port,55693,Midnight Black Metallic,Nobel Brown Leather,181,AutoNation Toyota Weston,https://www.autonationtoyotaweston.com,True,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-20,5TDERKEC2RS40D132,2024,Sienna Platinum,Available,False,Factory to port,55523,Midnight Black Metallic,Nobel Brown Leather,119,Venice Toyota,https://www.venicetoyota.com,True,50 State Emissions | 6-Gallons of Gas | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-19,5TDERKEC2RS40D177,2024,Sienna Platinum,Available,False,Factory to port,55519,Cypress,Nobel Brown Leather,33,Phillips Toyota,https://www.phillipstoyota.com,False,50 State Emissions | 6-Gallons of Gas | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-09-29,5TDERKEC3RS221273,2024,Sienna Platinum,Available,False,Factory to port,56118,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,181,AutoNation Toyota Weston,https://www.autonationtoyotaweston.com,True,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Mudguards | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-16,5TDERKEC3RS39E649,2024,Sienna Platinum,Available,False,Factory to port,56626,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,157,Germain Toyota of Naples,https://www.germaintoyotaofnaples.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Clear Paint Protection - Door Package | Mudguards | Phone Cable Charge Package | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-22,5TDERKEC3RS40D950,2024,Sienna Platinum,Available,False,Factory to port,56276,Celestial Silver Metallic,Nobel Brown Leather,157,Germain Toyota of Naples,https://www.germaintoyotaofnaples.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Clear Paint Protection - Door Package | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-10-21,5TDERKEC4RS40D276,2024,Sienna Platinum,Available,False,Factory to port,57165,Predawn Gray Mica,Nobel Brown Leather,72,Courtesy Toyota,https://www.courtesytoyota.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Clear Paint Protection - Door Package | Clear Paint Protection - Full Hood Package | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-10-21,5TDERKEC4RS40D391,2024,Sienna Platinum,Available,False,Factory to port,55693,Predawn Gray Mica,Nobel Brown Leather,181,AutoNation Toyota Weston,https://www.autonationtoyotaweston.com,True,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-05-21,5TDERKEC5RS205947,2024,Sienna Platinum,Available,False,L,57150,Celestial Silver Metallic,Nobel Brown Leather,172,Al Hendrickson Toyota,https://www.alhendricksontoyota.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Dashcam | Mudguards | PDS - Company Cars | Paint Protection Film - Hood & Door Package | Platinum Package | TOYOGUARD Platinum
2024-08-18,5TDERKEC5RS215359,2024,Sienna Platinum,Available,False,At dealer,55913,Predawn Gray Mica,Nobel Brown Leather,86,Sun Toyota,https://www.suntoyota.com,False,50 State Emissions | 6-Gallons of Gas | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-08-30,5TDERKEC5RS216527,2024,Sienna Platinum,Available,False,At dealer,55988,Celestial Silver Metallic,Nobel Brown Leather,72,Toyota of Tampa Bay,https://www.toyotaoftampabay.com,False,50 State Emissions | 6-Gallons of Gas | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-09-17,5TDERKEC5RS219914,2024,Sienna Platinum,Available,False,At dealer,55523,Midnight Black Metallic,Nobel Brown Leather,89,Beaver Toyota of St. Augustine,https://www.beavertoyotastaugustine.com,False,50 State Emissions | 6-Gallons of Gas | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-09-29,5TDERKEC5RS221341,2024,Sienna Platinum,Available,False,Factory to port,57165,Predawn Gray Mica,Nobel Brown Leather,78,Gettel Stadium Toyota,https://www.stadiumtoyota.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Illuminated Door Sills | Mudguards | Paint Protection Film - Hood & Door Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
